CODSUPERVISOR,CODGERENTE,POSICAO,DATA,CODUSUR,CODFILIAL,CODEPTO,CODFORNEC,CODPROD,CODCLI,VLVENDA,VLCUSTOFIN,QT,QTBNF,QTCLIENTE,PESO,QTPED,VLBONIFIC
26,1,F,2023-11-01,907,2,3,4,109290,117326,0.0,9.36811,0,10,1,0.74,1,13.3
26,1,F,2023-11-01,907,2,3,4,109290,131729,0.0,28.10433,0,30,1,2.22,1,39.9
26,1,F,2023-11-22,907,2,3,4,109290,115672,0.0,9.36811,0,10,1,0.74,1,13.3
49,1,F,2023-11-07,905,2,3,4,2056,607,0.0,30.8365,0,25,1,2.125,1,43.75
49,1,F,2023-11-08,927,2,3,4,103991,140035,0.0,123.9634,0,100,1,9.0,1,175.0
49,1,F,2023-11-09,690,2,3,4,2037,125882,0.0,23.558625,0,25,1,1.85,1,33.25
49,1,F,2023-11-10,927,2,3,4,2040,2669,0.0,32.4032,0,25,1,2.125,1,45.75
49,1,F,2023-11-10,927,2,3,4,2048,123233,0.0,18.51279,0,15,1,1.275,1,26.25
49,1,F,2023-11-10,927,2,3,4,2048,137698,0.0,30.85465,0,25,1,2.125,1,43.75
49,1,F,2023-11-10,927,2,3,4,124409,2669,0.0,61.98175,0,50,1,4.25,1,87.5
49,1,F,2023-11-14,909,2,3,4,2037,100441,0.0,188.469,0,200,1,14.8,1,266.0
49,1,F,2023-11-15,905,2,3,4,2035,681,0.0,92.971875,0,75,1,6.375,1,131.25
49,1,F,2023-11-15,905,2,3,4,2037,119800,0.0,23.558625,0,25,1,1.85,1,33.25
49,1,F,2023-11-15,905,2,3,4,2056,681,0.0,46.87148,0,38,1,3.23,1,66.5
49,1,F,2023-11-15,944,2,3,4,2030,122502,0.0,49.58472,0,40,1,3.4,1,70.0
49,1,F,2023-11-16,905,2,3,4,105807,118027,0.0,30.990875,0,25,1,2.125,1,43.75
49,1,F,2023-11-16,927,2,3,4,2037,140035,0.0,9.42345,0,10,1,0.74,1,13.3
49,1,F,2023-11-20,1045,2,3,4,2032,141906,0.0,123.9635,0,100,1,8.5,1,175.0
49,1,F,2023-11-20,1045,2,3,4,2047,141906,0.0,61.9473,0,50,1,4.25,1,87.5
49,1,F,2023-11-20,1045,2,3,4,2048,141906,0.0,72.816974,0,59,1,5.015,1,103.25
49,1,F,2023-11-21,922,2,3,4,2030,121150,0.0,79.24072,0,65,1,5.525,1,113.75
49,1,F,2023-11-22,905,2,3,4,2033,607,0.0,30.384,0,25,1,2.125,1,43.75
49,1,F,2023-11-22,905,2,3,4,2037,607,0.0,18.8469,0,20,1,1.48,1,26.6
49,1,F,2023-11-22,927,2,3,4,2037,103346,0.0,47.11725,0,50,1,3.7,1,66.5
49,1,F,2023-11-22,944,2,3,4,2047,133356,0.0,185.8419,0,150,1,12.75,1,262.5
49,1,F,2023-11-23,909,2,3,4,2061,104945,0.0,1.695917,0,1,1,0.099,1,2.4
52,1,F,2023-11-06,451,2,3,4,2030,105121,0.0,30.99045,0,25,1,2.125,1,43.75
52,1,F,2023-11-09,1408,2,3,4,2047,4877,0.0,61.9473,0,50,1,4.25,1,87.5
52,1,F,2023-11-09,1408,2,3,4,2048,4877,0.0,265.34999,0,215,1,18.275,1,376.25
52,1,F,2023-11-11,451,2,3,4,2037,7866,0.0,47.11725,0,50,1,3.7,1,66.5
52,1,F,2023-11-13,1408,2,3,4,2028,131476,0.0,61.62215,0,50,1,4.25,1,87.5
52,1,F,2023-11-16,451,2,3,4,2035,3149,0.0,61.98125,0,50,1,4.25,1,87.5
52,1,F,2023-11-16,1266,2,3,4,2047,114474,0.0,30.97365,0,25,1,2.125,1,43.75
52,1,F,2023-11-17,1408,2,3,4,2047,123384,0.0,12.38946,0,10,1,0.85,1,17.5
52,1,F,2023-11-17,1408,2,3,4,2048,106249,0.0,14.810232,0,12,1,1.02,1,21.0
52,1,F,2023-11-17,1408,2,3,4,2048,123384,0.0,14.810232,0,12,1,1.02,1,21.0
52,1,F,2023-11-20,451,2,3,4,2030,7866,0.0,61.9809,0,50,1,4.25,1,87.5
52,1,F,2023-11-20,451,2,3,4,2048,7853,0.0,350.508824,0,284,1,24.14,1,497.0
52,1,F,2023-11-20,1004,2,3,4,2037,108383,0.0,5512.71825,0,5850,1,432.9,1,7780.5
52,1,F,2023-11-22,1266,2,3,4,2048,127111,0.0,17.278604,0,14,1,1.19,1,24.5
52,1,L,2023-11-23,1004,2,3,4,2037,108383,0.0,214.85466,0,228,1,16.872,1,303.24
55,1,F,2023-11-02,1072,2,3,4,2038,102165,0.0,46.37665,0,50,1,3.7,1,66.5
55,1,F,2023-11-02,1072,2,3,4,2038,140967,0.0,46.37665,0,50,1,3.7,1,66.5
55,1,F,2023-11-02,1072,2,3,4,109290,140967,0.0,46.84055,0,50,1,3.7,1,66.5
55,1,F,2023-11-07,1135,2,3,4,2030,104260,0.0,14.875416,0,12,1,1.02,1,21.0
55,1,F,2023-11-07,1135,2,3,4,2037,104260,0.0,49.944285,0,53,1,3.922,1,70.49
55,1,F,2023-11-10,964,2,3,4,2037,132296,0.0,188.469,0,200,1,14.8,1,266.0
55,1,F,2023-11-13,964,2,3,4,2028,132738,0.0,86.27101,0,70,1,5.95,1,122.5
55,1,F,2023-11-13,964,2,3,4,2030,132738,0.0,309.9045,0,250,1,21.25,1,437.5
55,1,F,2023-11-13,964,2,3,4,103991,132738,0.0,337.180448,0,272,1,24.48,1,476.0
55,1,F,2023-11-15,1135,2,3,4,2038,137695,0.0,46.37665,0,50,1,3.7,1,66.5
55,1,F,2023-11-16,1135,2,3,4,2037,114348,0.0,25.443315,0,27,1,1.998,1,35.91
55,1,F,2023-11-20,1135,2,3,4,2037,134175,0.0,6.596415,0,7,1,0.518,1,9.31
55,1,F,2023-11-21,1135,2,3,4,2030,3466,0.0,121.9088,0,100,1,8.5,1,175.0
