CodFornecedor,Fornecedor,CodProduto,NomeProduto,StringQuantidade,Data,valor1,valor2,valor3,valor4,valor5,valor6,valor7,valor8,valor9,valor10,valor11,valor12,valor13,valor14
3175,SEARA ALIMENTOS LTDA,1700,S EMP STEAK SEARA 72X100G,CX72X100G,45225,200.0,829.0,13.511,61.357412,829.0,68802.304544,0.178124292028241,0.0,0,56.0,423.0,450.0,324.0,399.0
3175,SEARA ALIMENTOS LTDA,101212,S TEKITOS DE FRANGO SEARA 16X300GR,C/16UN,45201,5008.0,4268.0,118.065,36.149579,4268.0,25959.858188,0.067208233670921,0.0,0,334.0,3425.0,3263.0,3863.0,3517.0
3175,SEARA ALIMENTOS LTDA,101216,S PIZZA CALABRESA SEARA 12X460GR,C/ 12UN,45201,360.0,240.0,10.543,22.763919,240.0,2659.18056,0.00688443007490171,0.0,0,22.0,336.0,289.0,328.0,317.666666666667
3175,SEARA ALIMENTOS LTDA,104306,S HAMBURGUER GRANEL TEXAS CX36UN,"CX36X2,010",45230,500.0,1557.0,65.696,23.700073,1557.0,40198.675824,0.104071523753156,0.0,0,125.0,1720.0,1884.0,2321.0,1975.0
3175,SEARA ALIMENTOS LTDA,105246,S EMP TRAD T DA MONICA SEARA 16X300G,CX 16X300G,45161,160.0,3.0,0.75,4.0,3.0,21.39753,5.53966892194081e-05,0.0,0,0.0,0.0,60.0,9.0,23.0
3175,SEARA ALIMENTOS LTDA,105247,S EMP CHIKEN CRISPY TRAD SEARA 16X300G,CX16X300G,45225,160.0,154.0,8.141,18.916595,154.0,1008.332248,0.0026105007527674,0.0,0,4.0,243.0,254.0,191.0,229.333333333333
3175,SEARA ALIMENTOS LTDA,105253,S PIZZA MUSSARELA SEARA 12X440G,CX 12X440G,45201,192.0,55.0,5.054,10.882469,55.0,579.07487,0.00149918381271853,0.0,0,23.0,166.0,156.0,121.0,147.666666666667
3175,SEARA ALIMENTOS LTDA,812,S SALSICHA SEARA 04X05KG,C/20KG,45229,28000.0,44175.0,598.587,73.798796,44175.0,256387.415025,0.663768853223121,28000.0,0,1055.0,17540.0,16225.0,20525.0,18096.6666666667
3175,SEARA ALIMENTOS LTDA,1155,S LING SUINA  SEARA 4X5KG,C/20KG,45230,2200.0,2930.0,103.967,28.182019,2930.0,41413.00383,0.107215332929206,0.0,0,355.0,4175.0,2625.0,2410.0,3070.0
3175,SEARA ALIMENTOS LTDA,1256,S LING CHURRASCO REZENDE 4X5KG,CX20KG,45183,500.0,260.0,9.783,26.576715,260.0,3307.18752,0.00856207418499916,0.0,0,40.0,120.0,265.0,475.0,286.666666666667
3175,SEARA ALIMENTOS LTDA,105239,S EMP QJO TURM DA MONICA SEARA 16X300G,CX 16X300G,45169,80.0,35.0,0.721,48.543689,35.0,264.89925,0.000685805390935509,0.0,0,0.0,0.0,45.0,4.0,16.3333333333333
3175,SEARA ALIMENTOS LTDA,104401,S HAMBURG HOT HIT BARB SEARA 18X145G,C/18UN,45225,270.0,218.0,8.087,26.956844,218.0,868.430904,0.00224830608474051,0.0,0,12.0,217.0,278.0,245.0,246.666666666667
3175,SEARA ALIMENTOS LTDA,104402,S HAMBURG HOT HIT PIC SEARA 18X145G,CX18X145G,45230,108.0,333.0,10.935,30.452675,333.0,1331.054613,0.00344600609184427,0.0,0,19.0,409.0,301.0,296.0,335.333333333333
3175,SEARA ALIMENTOS LTDA,104403,S  HAMBURG HOT HIT CHED SEARA 18X145G,C/18UN,45225,252.0,201.0,7.06,28.470255,201.0,800.088942,0.0020713735869448,0.0,0,20.0,150.0,231.0,212.0,197.666666666667
3175,SEARA ALIMENTOS LTDA,113616,S LASANHA FGO SEARA 10X600G,CX10X600G,45201,200.0,100.0,4.989,20.044097,100.0,1058.409,0.00274014591590826,0.0,0,10.0,142.0,166.0,142.0,150.0
3175,SEARA ALIMENTOS LTDA,113617,S LASANHA CALAB SEARA 10X600G,CX10X600G,45225,80.0,270.0,2.44,110.655738,270.0,2884.42134,0.00746756249669044,0.0,0,4.0,63.0,102.0,54.0,73.0
3175,SEARA ALIMENTOS LTDA,113618,S LASANHA PRES/QJO SEARA 10X600G,CX10X600G,45201,290.0,285.0,2.424,117.574257,285.0,3035.393925,0.00785841982330224,0.0,0,8.0,84.0,86.0,45.0,71.6666666666667
3175,SEARA ALIMENTOS LTDA,113623,S LING ALHO PORO GOURMET SEARA 12X500G,CX12X500G,45225,96.0,9.0,4.217,2.134219,9.0,107.125506,0.000277340345514358,0.0,0,2.0,137.0,131.0,120.0,129.333333333333
3175,SEARA ALIMENTOS LTDA,113638,S EMP STEAK DE FGO REZENDE 72X100G,CX 72X100G,45201,50.0,20.0,0.702,28.490028,20.0,1372.14,0.00355237324801127,0.0,0,2.0,26.0,0.0,5.0,10.3333333333333
3175,SEARA ALIMENTOS LTDA,113639,S TEKITOS QJO/OREG  SEARA 16X300G,C/16UN,45230,400.0,1065.0,45.065,23.632531,1065.0,6401.70009,0.0165735479918283,0.0,0,144.0,1350.0,1324.0,1332.0,1335.33333333333
3175,SEARA ALIMENTOS LTDA,113642,S PIZZA D LOMBO C/CATUPIRY SEARA 12X460G,CX 12X460G,45147,180.0,57.0,3.663,15.561016,57.0,622.684929,0.00161208716582812,0.0,0,6.0,103.0,116.0,113.0,110.666666666667
3175,SEARA ALIMENTOS LTDA,113647,S LASANHA BOLON SEARA 6X1KG,CX6X1KG,45201,54.0,30.0,0.859,34.924331,30.0,494.80719,0.00128102075931,0.0,0,4.0,33.0,19.0,23.0,25.0
3175,SEARA ALIMENTOS LTDA,113606,S LING DE FRANGO SEARA 4X5KG,4X5X20KG,45225,1200.0,1025.0,89.348,11.471997,1025.0,13774.04225,0.0356600195358178,0.0,0,205.0,2055.0,2815.0,3195.0,2688.33333333333
3175,SEARA ALIMENTOS LTDA,113624,S LING APIMENTADA GOURMET SEARA 12X450G,CX12X450G,45225,72.0,23.0,5.022,4.579849,23.0,270.240754,0.000699634166362029,0.0,0,6.0,150.0,146.0,163.0,153.0
3175,SEARA ALIMENTOS LTDA,113648,S PIZZA PORTUGUESA SEARA 12X460G,CX 12X460G,45225,48.0,37.0,3.337,11.087803,37.0,422.939748,0.00109496104356394,0.0,0,8.0,120.0,76.0,103.0,99.6666666666667
3175,SEARA ALIMENTOS LTDA,113621,S LASANHA 4 QJO SEARA 10X600G,CX10X600G,45201,90.0,54.0,2.054,26.290166,54.0,591.1677,0.00153049129284793,0.0,0,7.0,73.0,45.0,66.0,61.3333333333333
3175,SEARA ALIMENTOS LTDA,113620,S LASANHA BOLON SEARA 10X600G,CX10X600G,45225,100.0,123.0,7.793,15.783395,123.0,1332.834888,0.00345061509769214,0.0,0,19.0,224.0,227.0,251.0,234.0
3175,SEARA ALIMENTOS LTDA,113798,S HAMBURG HOT HIT BAC/CHED SEARA 18X145G,CX18X145G,45210,270.0,1.0,10.0,0.1,1.0,3.853933,9.97755949744765e-06,0.0,0,0.0,303.0,319.0,298.0,306.666666666667
3175,SEARA ALIMENTOS LTDA,113629,S PIZZA FGO C/ CATUPIRY SEARA 12X460G,CX 12X460G,45225,120.0,154.0,7.652,20.125457,154.0,1739.333596,0.00450301145349428,0.0,0,17.0,225.0,206.0,265.0,232.0
3175,SEARA ALIMENTOS LTDA,114434,S LING PERNIL SEARA 32X700G,CX32X700G,45169,32.0,23.0,1.065,21.596244,23.0,292.801799,0.000758043113484902,0.0,0,0.0,21.0,15.0,62.0,32.6666666666667
3175,SEARA ALIMENTOS LTDA,114332,"S FRANGO PAD CERV SEARA 14,4KG","CX14,4KG",44870,72.0,47.6,0.0,47.6,47.6,749.3826508,0.0019400985914161,0.0,0,0.0,0.0,0.0,0.0,0.0
3175,SEARA ALIMENTOS LTDA,114503,"S EMP CHIKEN SHUPREME SEARA 2X2,5KG","CX2X2,5KG",45225,100.0,79.5,3.832,20.746347,79.5,1648.5418125,0.00426795795833735,0.0,0,10.0,172.5,102.5,67.5,114.166666666667
3175,SEARA ALIMENTOS LTDA,114144,S BATATA FORMATO T MONICA SEARA 24X400G,CX24X400G,45016,384.0,354.0,1.011,350.148368,354.0,2426.03811,0.00628084078929251,0.0,0,0.0,53.0,34.0,6.0,31.0
3175,SEARA ALIMENTOS LTDA,114853,S LING PERNIL C/QJO GOURMET 12X500G,CX12X500G,45225,36.0,68.0,3.098,21.949645,68.0,847.395804,0.00219384770111403,0.0,0,0.0,162.0,123.0,0.0,95.0
3175,SEARA ALIMENTOS LTDA,114857,S LING FGO C/BACON GOURMET 12X500G,CX12X500G,45225,60.0,61.0,3.424,17.815421,61.0,759.35057,0.00196590482802783,0.0,0,8.0,122.0,95.0,90.0,102.333333333333
3175,SEARA ALIMENTOS LTDA,114431,S LING CUIABANA GOURMET 12X500G,CX12X500G,45225,240.0,166.0,12.457,13.325841,166.0,1975.227028,0.00511372283660269,0.0,0,27.0,419.0,315.0,386.0,373.333333333333
3175,SEARA ALIMENTOS LTDA,114448,"S BACON FATIADO SEARA 2,5KG","CX6X2,5KG",45230,105.0,242.5,1.44,168.402778,242.5,8650.480855,0.0223954820730652,0.0,0,5.0,102.5,25.0,0.0,42.5
3175,SEARA ALIMENTOS LTDA,114494,S BURRITO FGO C/REQ SEARA 18X100G,CX18X100G,45114,180.0,1.0,1.37,0.729927,1.0,3.729821,9.65624232240926e-06,0.0,0,0.0,9.0,59.0,58.0,42.0
3175,SEARA ALIMENTOS LTDA,113631,S PIZZA QUATRO QUEIJOS  SEARA 12X460G,CX 12X460G,45225,48.0,43.0,4.087,10.521165,43.0,488.829547,0.00126554506508102,0.0,0,13.0,124.0,98.0,143.0,121.666666666667
3175,SEARA ALIMENTOS LTDA,122929,S EMP RECH PRES E QJO SEARA 25X110G,CX25X110G,45201,6375.0,6638.0,198.0,33.525253,6638.0,17769.116164,0.0460029828602025,0.0,0,525.0,6072.0,5813.0,5872.0,5919.0
3175,SEARA ALIMENTOS LTDA,123668,S LING APIMENTADA SEARA 24X600G,CX24X600G,45225,168.0,116.0,7.89,14.702155,116.0,1128.707492,0.00292214373125971,0.0,0,8.0,292.0,208.0,212.0,237.333333333333
3175,SEARA ALIMENTOS LTDA,123669,S EMP RECHEADO C LEVISSIMO/MUSSAREL 110G,CX25X110G,45230,1000.0,1580.0,55.891,28.26931,1580.0,4236.8332,0.010968860987921,0.0,0,257.0,1650.0,1720.0,1570.0,1646.66666666667
3175,SEARA ALIMENTOS LTDA,123504,S CHICKEN SUPREME SEARA 16X300G,CXCHICKEN SU,45128,160.0,17.0,1.087,15.639374,17.0,110.702725,0.000286601512070159,0.0,0,0.0,1.0,59.0,40.0,33.3333333333333
3175,SEARA ALIMENTOS LTDA,124102,S CHICKEN SUPREME BURGER 2KG,CX3X2KG,45106,60.0,27.0,0.228,118.421053,27.0,603.496575,0.00156240987675924,0.0,0,0.0,2.0,19.0,0.0,7.0
3175,SEARA ALIMENTOS LTDA,124073,S PAO DE QJO TURMA MONICA SEARA 25X400G,CX25X400G,45225,200.0,191.0,11.804,16.180956,191.0,972.411178,0.00251750364743709,0.0,0,1.0,503.0,341.0,241.0,361.666666666667
3175,SEARA ALIMENTOS LTDA,123871,COXINHA EMPAN APIMENTAD SEARA 12X400G,CX12X400G,45201,252.0,240.0,7.185,33.402923,240.0,2453.454,0.00635181858616923,0.0,0,19.0,163.0,355.0,136.0,218.0
3175,SEARA ALIMENTOS LTDA,123930,S ISCAS EMP TRAD SEARA 16X300G,CX16X300G,45225,64.0,152.0,7.783,19.529744,152.0,1259.793784,0.0032615168541785,0.0,0,0.0,212.0,313.0,191.0,238.666666666667
3175,SEARA ALIMENTOS LTDA,123924,S PIZZA CALABRESA REZENDE 12X400G,CX12X400G,45147,120.0,35.0,0.953,36.726128,35.0,296.5347,0.000767707329709103,0.0,0,10.0,32.0,25.0,15.0,24.0
3175,SEARA ALIMENTOS LTDA,123925,S PIZZA MUSSARELA REZENDE 12X400G,CX12X400G,45147,120.0,2.0,0.644,3.10559,2.0,15.6816,4.05985514058431e-05,0.0,0,0.0,19.0,21.0,18.0,19.3333333333333
3175,SEARA ALIMENTOS LTDA,123927,S COXINHA EMP TRAD SEARA CX12X400G,CX12X400G,45225,180.0,145.0,8.859,16.367536,145.0,1463.254595,0.00378826247927148,0.0,0,24.0,264.0,282.0,250.0,265.333333333333
3175,SEARA ALIMENTOS LTDA,123928,S LASANHA BOLON REZENDE 10X600G,CX10X600G,45147,150.0,101.0,0.967,104.446743,101.0,939.782376,0.00243302999071149,0.0,0,0.0,17.0,30.0,42.0,29.6666666666667
3175,SEARA ALIMENTOS LTDA,123929,S ISCAS EMP APIMENTADA SEARA 16X300G,CX16X300G,45225,80.0,150.0,7.75,19.354839,150.0,1245.20055,0.0032237360052392,0.0,0,0.0,247.0,387.0,79.0,237.666666666667
3175,SEARA ALIMENTOS LTDA,124010,S BIFE DE LINGUICA SEARA 90G,CX40X90G,45128,200.0,224.0,0.565,396.460177,224.0,468.90592,0.00121396420630702,0.0,0,0.0,7.0,23.0,22.0,17.3333333333333
3175,SEARA ALIMENTOS LTDA,124011,S BIG TEKITOS TRAD SEARA 900G,CX5X900G,45197,200.0,546.0,8.565,63.747811,546.0,8878.74078,0.0229864308473616,0.0,0,2.0,352.0,275.0,159.0,262.0
3175,SEARA ALIMENTOS LTDA,124012,S MORTADELA FATIADA SEARA 180G,CX22X180G,45183,440.0,3.0,10.306,0.291093,3.0,9.815727,2.54122217882883e-05,0.0,0,0.0,245.0,302.0,329.0,292.0
3175,SEARA ALIMENTOS LTDA,124014,S FILEZINHO EMP SEARA 400G,CX12X400G,45225,60.0,39.0,5.144,7.581649,39.0,458.54523,0.00118714111392072,0.0,0,12.0,186.0,148.0,117.0,150.333333333333
3175,SEARA ALIMENTOS LTDA,124027,S LING TOSCANA  SEARA 32X700G,CX32X700G,45210,160.0,114.0,1.348,84.569733,114.0,1318.744134,0.00341413513387365,0.0,0,2.0,51.0,43.0,29.0,41.0
3175,SEARA ALIMENTOS LTDA,124009,S BIFE DE PERNIL C/ LIMAO SEARA 90G,CX40X90G,45128,200.0,171.0,0.293,583.617747,171.0,357.95943,0.000926731603921876,0.0,0,0.0,1.0,9.0,17.0,9.0
