CodFornecedor,qtAtivos,ValorStoAtual,VendaDiaCusto,Dias_Estoques
3,15,850541.3068964999,57242.698939999995,14.858511611900248
4,32,234881.04108999998,16581.51398,14.16523493411426
5,2,0.100564244,0.0,0.0
6,5,192144.75007284,57.35,3350.387969883871
11,4,71304.06701237401,414.28116,172.11515728201113
14,9,55802.107108,1760.12478,31.703494969260074
19,1,7385.0535,157.20185,46.978158972047716
22,3,222310.6793525,3119.32632,71.26881145044806
30,2,296883.461148425,4496.759999999999,66.0216380568287
69,1,375.25,0.09877999999999999,3798.845920226767
125,37,454652.643962,6647.529742420001,68.39422485930629
297,21,1004562.6458909999,21209.72376,47.3633064370943
346,6,4508.872901,525.0687499999999,8.58720482032115
390,56,3110190.335475,83465.62144,37.26313039807399
394,58,1153318.74853,28144.89149,40.97790708980985
403,8,147499.77066100002,2524.640029897,58.42407983486568
404,5,170588.950546,4531.32328,37.64660784608597
405,27,210502.123574,2315.767153912,90.89952036775418
429,2,41101.512646999996,56.97818,721.3553091200877
444,1,325260.30816,1736.03296,187.35837144474493
483,3,2792176.70507,30382.326139999997,91.90134725708005
725,3,35916.234381,12685.193940000001,2.8313508292329663
915,2,33823.2,0.0,0.0
960,19,401419.36779203796,10148.82184,39.553297330524224
975,1,2376.765324,447.89327000000003,5.306543954098707
976,64,3235542.781577,92971.60252,34.801409181701175
989,29,262038.395595,4674.8948,56.052255035771076
1068,11,21754.033908999998,289.32703,75.1883911745128
1075,5,13584.9369119765,427.69395,31.76321973218583
1107,22,264479.713274122,13419.54671,19.70854299251677
1115,6,15368.881404,3429.8924599999996,4.480863928894144
1118,6,463419.548768,12598.369130000001,36.784090383927335
1174,3,19025.893163,1815.6653900000001,10.478744193609375
1181,6,62609.856071466995,773.72055,80.92050297935992
1184,6,138369.923018,1446.64197,95.64904509026515
1203,16,156338.685555,2756.5325199999997,56.71570511890787
1214,70,1435190.2786100002,103323.46368,13.89026487782954
1244,2,1032052.823855,36759.611560000005,28.075727137933875
1360,52,296551.939609,6390.164445261,46.407559953942254
1365,1,1.5204,0.0,0.0
1456,3,109.5248,37.16141,2.947272452794445
1572,2,237.8475,565.6487200000001,0.4204862339297788
1662,18,240830.750004,10320.610569999999,23.334932402550677
1721,2,12028.006683,92.6426,129.83235231955925
1818,5,109859.83493406,0.0,0.0
1861,10,1278640.013577618,35428.93363,36.0902765782064
1970,4,5288.628865000001,2580.24903,2.0496583095314644
2037,2,266748.42299034,8720.61188,30.588269110118908
2062,1,104.85,206.02479999999997,0.5089193145679549
2134,2,189718.200009,4840.46566,39.19420430492218
2163,3,1135962.4928040002,22111.47041,51.37435329901247
2280,1,33209.059755,404.72907999999995,82.05256650942898
2320,1,79.909005,0.0,0.0
2346,17,287581.38136418397,21703.09661,13.250707331398823
2370,1,519.07696,3.3582,154.5699958311
2401,1,475.13808,1257.3569800000002,0.3778863819565386
2404,1,788.48653936,2.1349500000000003,369.3231875968992
2470,5,201744.859935,3593.7396599999997,56.13786167665801
2488,1,718.014,52.076640000000005,13.787640677278718
2503,1,96399.8762076,1568.92175,61.443393341701075
2520,2,14376.541374,4086.6,3.5179712655997655
2589,1,9.9,2.8796299999999997,3.4379416800075013
2591,19,57643.970959,4368.5691799999995,13.19516037949066
2611,1,4953.26239056,5331.53608,0.9290497740681144
2620,8,262831.599417,5412.02107,48.56440801273526
2623,2,99.977962,0.0,0.0
2684,1,31.5,0.0,0.0
2706,1,111.37945,0.0,0.0
2736,1,38.7,0.0,0.0
